logical_dataset_id,directory_slug,display_name_en,display_name_zh,aliases_json,relationship,member_count,reaction_count,physical_dataset_ids_json,physical_source_files_json,source_dois_json,upstream_source_ids_json,source_evidence_types_json,naming_evidence,semantic_name_status,naming_policy_version,planned_dataset_path
physical_1ec2807f02fa4beda27d2a81b86eb843,flow-catechol-rearrangement,Flow Catechol Rearrangement,连续流儿茶酚重排,"[""physical_1ec2807f02fa4beda27d2a81b86eb843"", ""Transient flow exploration of the effect of temperature, residence time and binary solvent ratios on a uni-molecular allyl substituted catechol reaction.""]",independent,1,1227,"[""ord_dataset-1ec2807f02fa4beda27d2a81b86eb843""]","[""data/1e/ord_dataset-1ec2807f02fa4beda27d2a81b86eb843.parquet""]",[],[],"[""doi"", ""url""]",frozen physical dataset name and description; logical membership; DOI/upstream-source evidence when available,approved_from_frozen_metadata,semantic-names-v1,datasets/corpus/flow-catechol-rearrangement
physical_35a5a513f1dd44a3a97c88da99f81a00,automated-kinetic-profiling-hplc-optimization,Automated Kinetic Profiling HPLC Optimization,自动动力学 HPLC 优化,"[""physical_35a5a513f1dd44a3a97c88da99f81a00"", ""Development of an automated kinetic profiling system with online HPLC for reaction optimization""]",independent,1,7,"[""ord_dataset-35a5a513f1dd44a3a97c88da99f81a00""]","[""data/35/ord_dataset-35a5a513f1dd44a3a97c88da99f81a00.parquet""]",[],[],"[""doi"", ""url""]",frozen physical dataset name and description; logical membership; DOI/upstream-source evidence when available,approved_from_frozen_metadata,semantic-names-v1,datasets/corpus/automated-kinetic-profiling-hplc-optimization
physical_3b5db90e337942ea886b8f5bc5e3aa72,nickel-suzuki-miyaura-cross-coupling,Nickel Suzuki-Miyaura Cross-Coupling,镍催化 Suzuki-Miyaura 交叉偶联,"[""physical_3b5db90e337942ea886b8f5bc5e3aa72"", ""Ni-catalyzed Suzuki Miyaura cross-coupling""]",independent,1,450,"[""ord_dataset-3b5db90e337942ea886b8f5bc5e3aa72""]","[""data/3b/ord_dataset-3b5db90e337942ea886b8f5bc5e3aa72.parquet""]",[],[],"[""doi"", ""url""]",frozen physical dataset name and description; logical membership; DOI/upstream-source evidence when available,approved_from_frozen_metadata,semantic-names-v1,datasets/corpus/nickel-suzuki-miyaura-cross-coupling
physical_46ff9a32d9e04016b9380b1b1ef949c3,ahneman-c-n-cross-coupling,Ahneman C-N Cross-Coupling,Ahneman C-N 交叉偶联,"[""physical_46ff9a32d9e04016b9380b1b1ef949c3"", ""Ahneman""]",independent,1,4312,"[""ord_dataset-46ff9a32d9e04016b9380b1b1ef949c3""]","[""data/46/ord_dataset-46ff9a32d9e04016b9380b1b1ef949c3.parquet""]",[],[],"[""doi"", ""patent""]",frozen physical dataset name and description; logical membership; DOI/upstream-source evidence when available,approved_from_frozen_metadata,semantic-names-v1,datasets/corpus/ahneman-c-n-cross-coupling
physical_47eaacc46c3a4487bbdf99adb1a15e41,aichemeeco-amide-coupling-conditions,AIChemEco Amide-Coupling Conditions,AIChemEco 酰胺偶联条件,"[""physical_47eaacc46c3a4487bbdf99adb1a15e41"", ""AIChemEco amide coupling conditions 47k dataset""]",independent,1,47015,"[""ord_dataset-47eaacc46c3a4487bbdf99adb1a15e41""]","[""data/47/ord_dataset-47eaacc46c3a4487bbdf99adb1a15e41.parquet""]",[],[],"[""patent""]",frozen physical dataset name and description; logical membership; DOI/upstream-source evidence when available,approved_from_frozen_metadata,semantic-names-v1,datasets/corpus/aichemeeco-amide-coupling-conditions
physical_52bd3b0ec72c443aab113bcea09bf3f4,newman-vinyl-ether-mizoroki-heck,Newman Vinyl-Ether Mizoroki-Heck,Newman 乙烯醚 Mizoroki-Heck 偶联,"[""physical_52bd3b0ec72c443aab113bcea09bf3f4"", ""Vinyl ether Mizoroki-Heck""]",independent,1,96,"[""ord_dataset-52bd3b0ec72c443aab113bcea09bf3f4""]","[""data/52/ord_dataset-52bd3b0ec72c443aab113bcea09bf3f4.parquet""]",[],[],[],frozen physical dataset name and description; logical membership; DOI/upstream-source evidence when available,approved_from_frozen_metadata,semantic-names-v1,datasets/corpus/newman-vinyl-ether-mizoroki-heck
physical_5415f83da68e4797856ddd330dda5c61,pyparser-oxazole-c-h-activation,PyParser Oxazole C-H Activation,PyParser 噁唑 C-H 活化,"[""physical_5415f83da68e4797856ddd330dda5c61"", ""C-H activation of oxazoles from the second demo case in the PyParser paper""]",independent,1,48,"[""ord_dataset-5415f83da68e4797856ddd330dda5c61""]","[""data/54/ord_dataset-5415f83da68e4797856ddd330dda5c61.parquet""]",[],[],"[""doi""]",frozen physical dataset name and description; logical membership; DOI/upstream-source evidence when available,approved_from_frozen_metadata,semantic-names-v1,datasets/corpus/pyparser-oxazole-c-h-activation
physical_5540e162c09f4c04905ddc8ba9c931c6,copper-enantioselective-alkene-hydroamination,Copper Enantioselective Alkene Hydroamination,铜催化烯烃对映选择性氢胺化,"[""physical_5540e162c09f4c04905ddc8ba9c931c6"", ""Copper-Catalyzed Enantioselective Hydroamination of Alkenes""]",independent,1,3,"[""ord_dataset-5540e162c09f4c04905ddc8ba9c931c6""]","[""data/55/ord_dataset-5540e162c09f4c04905ddc8ba9c931c6.parquet""]",[],[],"[""doi"", ""url""]",frozen physical dataset name and description; logical membership; DOI/upstream-source evidence when available,approved_from_frozen_metadata,semantic-names-v1,datasets/corpus/copper-enantioselective-alkene-hydroamination
physical_55de08a995554f558c25fc43eac62359,microwave-biginelli-condensation,Microwave Biginelli Condensation,微波辅助 Biginelli 缩合,"[""physical_55de08a995554f558c25fc43eac62359"", ""Microwave-assisted Biginelli Condensation Dataset""]",independent,1,48,"[""ord_dataset-55de08a995554f558c25fc43eac62359""]","[""data/55/ord_dataset-55de08a995554f558c25fc43eac62359.parquet""]",[],[],"[""doi"", ""url""]",frozen physical dataset name and description; logical membership; DOI/upstream-source evidence when available,approved_from_frozen_metadata,semantic-names-v1,datasets/corpus/microwave-biginelli-condensation
physical_5c9a10329a8a48968d18879a48bb8ab2,chan-lam-sulfonamide-boronic-acid-coupling,Chan-Lam Sulfonamide-Boronic-Acid Coupling,Chan-Lam 磺酰胺-硼酸偶联,"[""physical_5c9a10329a8a48968d18879a48bb8ab2"", ""Chan-Lam coupling of primary sulfonamides with boronic acids""]",independent,1,9632,"[""ord_dataset-5c9a10329a8a48968d18879a48bb8ab2""]","[""data/5c/ord_dataset-5c9a10329a8a48968d18879a48bb8ab2.parquet""]",[],[],"[""doi"", ""url""]",frozen physical dataset name and description; logical membership; DOI/upstream-source evidence when available,approved_from_frozen_metadata,semantic-names-v1,datasets/corpus/chan-lam-sulfonamide-boronic-acid-coupling
physical_5e8318f0dda04b398c14f4c3adfeb32c,aza-heck-impatien-a-ligand-screen,Aza-Heck Impatien A Ligand Screen,Impatien A 偶氮-Heck 配体筛选,"[""physical_5e8318f0dda04b398c14f4c3adfeb32c"", ""Ligand screening for Aza-Heck cyclization in total synthesis of Impatien A""]",independent,1,24,"[""ord_dataset-5e8318f0dda04b398c14f4c3adfeb32c""]","[""data/5e/ord_dataset-5e8318f0dda04b398c14f4c3adfeb32c.parquet""]",[],[],"[""doi"", ""patent"", ""url""]",frozen physical dataset name and description; logical membership; DOI/upstream-source evidence when available,approved_from_frozen_metadata,semantic-names-v1,datasets/corpus/aza-heck-impatien-a-ligand-screen
physical_5eb7f2689f4a42eba63ad9e37e49a5cd,sulfonamide-flow-synthesis-library,Sulfonamide Flow-Synthesis Library,磺酰胺连续流合成库,"[""physical_5eb7f2689f4a42eba63ad9e37e49a5cd"", ""39 compound library from \""Building a Sulfonamide Library by Eco-Friendly Flow Synthesis\""""]",independent,1,39,"[""ord_dataset-5eb7f2689f4a42eba63ad9e37e49a5cd""]","[""data/5e/ord_dataset-5eb7f2689f4a42eba63ad9e37e49a5cd.parquet""]",[],[],"[""doi"", ""url""]",frozen physical dataset name and description; logical membership; DOI/upstream-source evidence when available,approved_from_frozen_metadata,semantic-names-v1,datasets/corpus/sulfonamide-flow-synthesis-library
physical_68cb8b4b2b384e3d85b5b1efae58b203,suzuki-miyaura-nanoscale-screen,Suzuki-Miyaura Nanoscale Screen,Suzuki-Miyaura 纳米尺度筛选,"[""physical_68cb8b4b2b384e3d85b5b1efae58b203"", ""Rapid material-sparing screening of 5760 Suzuki-Miyaura coupling reactions""]",independent,1,5760,"[""ord_dataset-68cb8b4b2b384e3d85b5b1efae58b203""]","[""data/68/ord_dataset-68cb8b4b2b384e3d85b5b1efae58b203.parquet""]",[],[],"[""doi"", ""url""]",frozen physical dataset name and description; logical membership; DOI/upstream-source evidence when available,approved_from_frozen_metadata,semantic-names-v1,datasets/corpus/suzuki-miyaura-nanoscale-screen
physical_6a0bfcdf53a64c07987822162ae591e2,islatravir-biocatalytic-cascade,Islatravir Biocatalytic Cascade,Islatravir 生物催化级联,"[""physical_6a0bfcdf53a64c07987822162ae591e2"", ""synthesis of islatravir by biocatalytic cascade""]",independent,1,3,"[""ord_dataset-6a0bfcdf53a64c07987822162ae591e2""]","[""data/6a/ord_dataset-6a0bfcdf53a64c07987822162ae591e2.parquet""]",[],[],"[""doi"", ""url""]",frozen physical dataset name and description; logical membership; DOI/upstream-source evidence when available,approved_from_frozen_metadata,semantic-names-v1,datasets/corpus/islatravir-biocatalytic-cascade
physical_805ad863feef48579d95d86a728035f4,cernak-ultra-hte-c-n-coupling,Cernak Ultra-HTE C-N Coupling,Cernak 超高通量 C-N 偶联,"[""physical_805ad863feef48579d95d86a728035f4"", ""High-throughput exploration of 50,688 Pd-, Ni- and Cu-catalysed C–N coupling reactions""]",independent,1,50688,"[""ord_dataset-805ad863feef48579d95d86a728035f4""]","[""data/80/ord_dataset-805ad863feef48579d95d86a728035f4.parquet""]",[],[],"[""doi"", ""patent"", ""url""]",frozen physical dataset name and description; logical membership; DOI/upstream-source evidence when available,approved_from_frozen_metadata,semantic-names-v1,datasets/corpus/cernak-ultra-hte-c-n-coupling
physical_89b083710e2d441aa0040c361d63359f,sp3-carboxyl-aryl-halide-coupling,sp3-Carboxyl Aryl-Halide Coupling,sp3 羧基碳-芳基卤化物偶联,"[""physical_89b083710e2d441aa0040c361d63359f"", ""Coupling of α-carboxyl sp3-carbons with aryl halides""]",independent,1,24,"[""ord_dataset-89b083710e2d441aa0040c361d63359f""]","[""data/89/ord_dataset-89b083710e2d441aa0040c361d63359f.parquet""]",[],[],"[""doi"", ""url""]",frozen physical dataset name and description; logical membership; DOI/upstream-source evidence when available,approved_from_frozen_metadata,semantic-names-v1,datasets/corpus/sp3-carboxyl-aryl-halide-coupling
physical_8d1e28ec1f6b4ee8ad372e0b5ed7a62e,electroreductive-alkenyl-benzyl-halide-coupling,Electroreductive Alkenyl-Benzyl-Halide Coupling,电还原烯基-苄基卤化物偶联,"[""physical_8d1e28ec1f6b4ee8ad372e0b5ed7a62e"", ""Electroreductive Coupling of Alkenyl and Benzyl Halides""]",independent,1,27,"[""ord_dataset-8d1e28ec1f6b4ee8ad372e0b5ed7a62e""]","[""data/8d/ord_dataset-8d1e28ec1f6b4ee8ad372e0b5ed7a62e.parquet""]",[],[],"[""doi"", ""url""]",frozen physical dataset name and description; logical membership; DOI/upstream-source evidence when available,approved_from_frozen_metadata,semantic-names-v1,datasets/corpus/electroreductive-alkenyl-benzyl-halide-coupling
physical_99c23cf435dc42f1af884053bc8b11c7,roche-borylation-surf,Roche Borylation SURF,罗氏硼化 SURF 数据集,"[""physical_99c23cf435dc42f1af884053bc8b11c7"", ""Borylation dataset from Roche""]",independent,1,1111,"[""ord_dataset-99c23cf435dc42f1af884053bc8b11c7""]","[""data/99/ord_dataset-99c23cf435dc42f1af884053bc8b11c7.parquet""]",[],[],"[""doi"", ""patent""]",frozen physical dataset name and description; logical membership; DOI/upstream-source evidence when available,approved_from_frozen_metadata,semantic-names-v1,datasets/corpus/roche-borylation-surf
physical_9b8aa9a7835143ef8ce3f70abfab7545,nicolit-nickel-cross-couplings,NiCOlit Nickel Cross-Couplings,NiCOlit 镍催化交叉偶联,"[""physical_9b8aa9a7835143ef8ce3f70abfab7545"", ""NiCOlit""]",independent,1,1762,"[""ord_dataset-9b8aa9a7835143ef8ce3f70abfab7545""]","[""data/9b/ord_dataset-9b8aa9a7835143ef8ce3f70abfab7545.parquet""]",[],[],"[""doi"", ""patent""]",frozen physical dataset name and description; logical membership; DOI/upstream-source evidence when available,approved_from_frozen_metadata,semantic-names-v1,datasets/corpus/nicolit-nickel-cross-couplings
physical_a12fa15d036d489c971b0b514caeae52,golden-pyridine-nucleophile-cross-coupling,Golden Pyridine-Nucleophile Cross-Coupling,Golden 吡啶-亲核试剂交叉偶联,"[""physical_a12fa15d036d489c971b0b514caeae52"", ""Fig 7 data from Golden paper""]",independent,1,288,"[""ord_dataset-a12fa15d036d489c971b0b514caeae52""]","[""data/a1/ord_dataset-a12fa15d036d489c971b0b514caeae52.parquet""]",[],[],"[""doi"", ""patent"", ""url""]",frozen physical dataset name and description; logical membership; DOI/upstream-source evidence when available,approved_from_frozen_metadata,semantic-names-v1,datasets/corpus/golden-pyridine-nucleophile-cross-coupling
physical_ac78456835404910b3a4c840248b6ac9,nano-c-n-photochemistry-informer,Nano C-N Photochemistry Informer,纳米 C-N 光化学信息员库,"[""physical_ac78456835404910b3a4c840248b6ac9"", ""Nano CN PhotoChemistry Informers Library""]",independent,1,1728,"[""ord_dataset-ac78456835404910b3a4c840248b6ac9""]","[""data/ac/ord_dataset-ac78456835404910b3a4c840248b6ac9.parquet""]",[],[],"[""doi"", ""patent"", ""url""]",frozen physical dataset name and description; logical membership; DOI/upstream-source evidence when available,approved_from_frozen_metadata,semantic-names-v1,datasets/corpus/nano-c-n-photochemistry-informer
physical_b440f8c90b6343189093770060fc4098,photocatalytic-aryl-bromide-dehalogenation,Photocatalytic Aryl-Bromide Dehalogenation,光催化芳基溴脱卤,"[""physical_b440f8c90b6343189093770060fc4098"", ""Photodehalogenation_HTE_estimated_conv_at_5hr""]",independent,1,1152,"[""ord_dataset-b440f8c90b6343189093770060fc4098""]","[""data/b4/ord_dataset-b440f8c90b6343189093770060fc4098.parquet""]",[],[],"[""doi"", ""patent"", ""url""]",frozen physical dataset name and description; logical membership; DOI/upstream-source evidence when available,approved_from_frozen_metadata,semantic-names-v1,datasets/corpus/photocatalytic-aryl-bromide-dehalogenation
physical_c5b00523487a4211a194160edf45e9ab,asymmetric-alkylation-chemical-space,Asymmetric Alkylation Chemical Space,不对称烷基化化学空间,"[""physical_c5b00523487a4211a194160edf45e9ab"", ""Dataset from `Ultra-high-throughput mapping of the chemical space of asymmetric catalysis enables accelerated reaction discovery`""]",independent,1,1430,"[""ord_dataset-c5b00523487a4211a194160edf45e9ab""]","[""data/c5/ord_dataset-c5b00523487a4211a194160edf45e9ab.parquet""]",[],[],"[""doi""]",frozen physical dataset name and description; logical membership; DOI/upstream-source evidence when available,approved_from_frozen_metadata,semantic-names-v1,datasets/corpus/asymmetric-alkylation-chemical-space
physical_ce5045aceb214cfc8bfd0ef3031e2737,newman-n-vinyl-pyrrolidone-mizoroki-heck,Newman N-Vinylpyrrolidone Mizoroki-Heck,Newman N-乙烯基吡咯烷酮 Mizoroki-Heck 偶联,"[""physical_ce5045aceb214cfc8bfd0ef3031e2737"", ""N-vinyl pyrrolidone Mizoroki-Heck""]",independent,1,96,"[""ord_dataset-ce5045aceb214cfc8bfd0ef3031e2737""]","[""data/ce/ord_dataset-ce5045aceb214cfc8bfd0ef3031e2737.parquet""]",[],[],"[""patent""]",frozen physical dataset name and description; logical membership; DOI/upstream-source evidence when available,approved_from_frozen_metadata,semantic-names-v1,datasets/corpus/newman-n-vinyl-pyrrolidone-mizoroki-heck
physical_d92976309c3a48a3a64a4cf5e7048086,pfizer-hte-reaction-conditions,Pfizer HTE Reaction Conditions,辉瑞高通量反应条件,"[""physical_d92976309c3a48a3a64a4cf5e7048086"", ""39k HTE dataset from Pfizer""]",independent,1,39347,"[""ord_dataset-d92976309c3a48a3a64a4cf5e7048086""]","[""data/d9/ord_dataset-d92976309c3a48a3a64a4cf5e7048086.parquet""]",[],[],"[""patent"", ""url""]",frozen physical dataset name and description; logical membership; DOI/upstream-source evidence when available,approved_from_frozen_metadata,semantic-names-v1,datasets/corpus/pfizer-hte-reaction-conditions
physical_eeba974d3c284aed86d1c1d442260a1e,hte-suzuki-coupling,HTE Suzuki Coupling,高通量 Suzuki 偶联,"[""physical_eeba974d3c284aed86d1c1d442260a1e"", ""HTE Suzuki coupling dataset""]",independent,1,376,"[""ord_dataset-eeba974d3c284aed86d1c1d442260a1e""]","[""data/ee/ord_dataset-eeba974d3c284aed86d1c1d442260a1e.parquet""]",[],[],"[""doi"", ""patent""]",frozen physical dataset name and description; logical membership; DOI/upstream-source evidence when available,approved_from_frozen_metadata,semantic-names-v1,datasets/corpus/hte-suzuki-coupling
physical_fc83743b978f4deea7d6856deacbfe53,deoxyfluorination-screen,Deoxyfluorination Screen,脱氧氟化筛选,"[""physical_fc83743b978f4deea7d6856deacbfe53"", ""Deoxyfluorination screen""]",independent,1,80,"[""ord_dataset-fc83743b978f4deea7d6856deacbfe53""]","[""data/fc/ord_dataset-fc83743b978f4deea7d6856deacbfe53.parquet""]",[],[],"[""doi"", ""patent"", ""url""]",frozen physical dataset name and description; logical membership; DOI/upstream-source evidence when available,approved_from_frozen_metadata,semantic-names-v1,datasets/corpus/deoxyfluorination-screen
physical_feaf1b793c6d408aaec1cac7cc3ceadc,roche-minisci-surf,Roche Minisci SURF,罗氏 Minisci SURF 数据集,"[""physical_feaf1b793c6d408aaec1cac7cc3ceadc"", ""Minisci dataset from Roche""]",independent,1,130,"[""ord_dataset-feaf1b793c6d408aaec1cac7cc3ceadc""]","[""data/fe/ord_dataset-feaf1b793c6d408aaec1cac7cc3ceadc.parquet""]",[],[],"[""doi""]",frozen physical dataset name and description; logical membership; DOI/upstream-source evidence when available,approved_from_frozen_metadata,semantic-names-v1,datasets/corpus/roche-minisci-surf
upstream_chemrxiv_64c7e2e1658ec5f7e5808425,chemrxiv-imidazole-arylation-and-aniline-amidation,ChemRxiv Imidazole Arylation and Aniline Amidation,ChemRxiv 咪唑芳基化与苯胺酰胺化,"[""upstream_chemrxiv_64c7e2e1658ec5f7e5808425"", ""Pd-catalyzed C-H arylation of imidazole with aryl bromide"", ""Aniline amide coupling reaction"", ""chemrxiv-64c7e2e1658ec5f7e5808425""]",same_upstream_source,2,2496,"[""ord_dataset-675eddcaa6674ce3ae61e79bbc1e1c08"", ""ord_dataset-7acd6ad2bf4d4cff841cad008ab726d5""]","[""data/67/ord_dataset-675eddcaa6674ce3ae61e79bbc1e1c08.parquet"", ""data/7a/ord_dataset-7acd6ad2bf4d4cff841cad008ab726d5.parquet""]",[],"[""chemrxiv-64c7e2e1658ec5f7e5808425""]","[""patent"", ""url""]",frozen physical dataset name and description; logical membership; DOI/upstream-source evidence when available,approved_from_frozen_metadata,semantic-names-v1,datasets/corpus/chemrxiv-imidazole-arylation-and-aniline-amidation
